heart_rate,body_temperature,skin_conductance,hydration_state,combined_metrics
64.0,36.67999999999999,0.9650119844156624,Dehydrated,33.88167066147189
64.0,36.67999999999999,1.4850707614285783,Dehydrated,34.055023587142855
66.94365148568744,36.31760840931104,0.723186,Hydrated,34.661481964999496
64.0,36.67999999999999,1.4850707614285783,Dehydrated,34.055023587142855
76.60000000000001,37.16,1.559881173860466,Slightly Dehydrated,38.439960391286824
97.0,36.2,0.6154643184502344,Dehydrated,44.60515477281674
65.1415902445733,36.014532497993066,2.105280624705859,Hydrated,34.42046778909074
83.82935133135726,37.18220815339644,2.365109756838624,Hydrated,41.1255564138641
68.2,36.2,1.0504783620740166,Slightly Dehydrated,35.150159454024674
81.4,37.75999999999999,1.4182480465733618,Dehydrated,40.19274934885779
50.0,36.76232739700075,1.817322709879534,Hydrated,29.52655003562676
71.2,35.36,1.9648020981167584,Dehydrated,36.174934032705586
53.2,35.599999999999994,0.8096572251954397,Slightly Dehydrated,29.86988574173181
82.0,37.75999999999999,2.137480458968102,Slightly Dehydrated,40.632493486322694
62.2097444005213,37.33562427746666,1.6896947590038192,Hydrated,33.74502114566393
64.0,36.67999999999999,1.364037855189012,Dehydrated,34.014679285063
75.4,38.0,2.342615024425951,Slightly Dehydrated,38.580871674808655
65.95363470329099,36.74506131644954,1.7048988839331756,Hydrated,34.80119830122457
64.0,36.67999999999999,2.3087195499877144,Slightly Dehydrated,34.32957318332924
80.8,37.52,1.834424674388362,Dehydrated,40.05147489146278
76.0,36.08,0.7945511271041819,Slightly Dehydrated,37.62485037570139
64.0,36.67999999999999,1.2422258768602557,Dehydrated,33.97407529228675
64.0,36.67999999999999,1.7279406126504653,Dehydrated,34.13598020421682
64.0,36.67999999999999,2.083116405,Dehydrated,34.254372135
56.82527669261139,36.3771753776804,0.5787836673856388,Hydrated,31.260411912559146
65.8,36.92,1.2010410685723236,Dehydrated,34.64034702285744
44.2,35.72,0.567352808,Slightly Dehydrated,26.829117602666667
64.0,36.67999999999999,1.30377439978146,Slightly Dehydrated,33.99459146659382
69.11993497395548,36.499509946189264,1.258080971,Hydrated,35.62584196371491
64.0,36.67999999999999,1.1460546915081875,Dehydrated,33.942018230502725
82.0,35.84,1.071516649185412,Slightly Dehydrated,39.637172216395136
64.0,36.67999999999999,1.1950375906275092,Dehydrated,33.9583458635425
68.8,37.040000000000006,1.285790217786358,Dehydrated,35.70859673926212
66.87695181084197,35.767323028505174,2.1076097809669503,Hydrated,34.91729487343803
85.74843630041568,37.92081343381791,1.8140609964682144,Hydrated,41.827770243567265
73.75944821599053,36.038286471639935,0.6350050933676439,Hydrated,36.810913260332704
64.0,36.67999999999999,1.142324305271907,Dehydrated,33.94077476842397
75.4,36.92,2.137480458968102,Slightly Dehydrated,38.152493486322705
50.55696893306336,36.72925612224868,0.8414167266249604,Hydrated,29.375880593978994
51.1435096619727,36.245492464434776,1.5112683068439177,Hydrated,29.633423477750465
64.0,36.67999999999999,0.7307892843578347,Dehydrated,33.80359642811928
77.3754640634799,37.08251625191231,1.576045410727806,Hydrated,38.67800857537333
71.8,38.0,1.8677329036706865,Dehydrated,37.22257763455689
65.8,36.56,0.9738666498132972,Slightly Dehydrated,34.44462221660444
80.8,37.52,2.315677027767068,Dehydrated,40.21189234258902
56.8,36.44,1.1048390225570728,Slightly Dehydrated,31.448279674185688
62.2,36.92,1.6943106119806035,Slightly Dehydrated,33.60477020399353
64.0,36.67999999999999,0.9676256661861282,Slightly Dehydrated,33.8825418887287
64.0,36.67999999999999,1.1129269360856406,Slightly Dehydrated,33.930975645361876
77.95245293440718,36.61740937165552,2.3582894344233747,Hydrated,38.976050580162024
88.0,35.84,1.7072744011187502,Dehydrated,41.849091467039585
77.80000000000001,37.64,0.5039842704381405,Dehydrated,38.647994756812714
56.95859125985655,37.70267469418021,1.2478420940256272,Hydrated,31.969702682687466
64.0,36.67999999999999,1.4279633963337748,Slightly Dehydrated,34.035987798777924
82.6,37.28,1.2990375691738696,Dehydrated,40.393012523057955
71.8,37.52,1.4279633963337748,Dehydrated,36.91598779877793
64.0,36.67999999999999,1.6537147622654005,Dehydrated,34.11123825408846
77.2,37.88,1.1350994005151769,Dehydrated,38.73836646683839
56.78265852711972,37.73566341185456,1.4850707614285783,Hydrated,32.001130900134285
64.0,36.67999999999999,0.9521581420211254,Dehydrated,33.87738604734037
60.615872907094825,36.25134782714521,1.384214069,Hydrated,32.75047826774668
79.0,37.88,0.7742969763054863,Dehydrated,39.21809899210183
64.0,36.67999999999999,1.9967117073314795,Dehydrated,34.225570569110495
67.34170692571857,38.5,1.364037855189012,Hydrated,35.73524826030253
77.12856346575437,37.22703272666109,1.2854614865428324,Hydrated,38.54701922631943
64.0,36.67999999999999,1.1048390225570728,Slightly Dehydrated,33.92827967418569
72.97390838197838,37.58729799488605,1.4787850748131774,Hydrated,37.34666381722587
64.0,36.67999999999999,1.9500121525982368,Slightly Dehydrated,34.210004050866075
59.75193925054157,38.36140707161666,1.258080971,Hydrated,33.12380909771941
67.3019772918651,36.14304583356257,1.962992928086278,Hydrated,35.13600535117131
77.80000000000001,36.32,1.0023385350968026,Dehydrated,38.374112845032265
64.6,37.75999999999999,2.316456977400646,Slightly Dehydrated,34.89215232580021
84.93954124081304,36.76913090789165,0.7027457951063183,Hydrated,40.80380598127034
53.92780382436122,37.09439159852697,1.2490964867591623,Hydrated,30.757097303215783
64.0,36.67999999999999,1.416862848262876,Dehydrated,34.03228761608762
74.2,37.88,2.342615024425951,Dehydrated,38.14087167480866
77.2,37.88,2.149486474694015,Dehydrated,39.07649549156468
48.4,36.8,2.2658296330374443,Slightly Dehydrated,29.15527654434581
57.805435840289846,36.603581583448175,2.2410539325387684,Hydrated,32.21669045209226
83.19999999999999,35.48,0.8985406729336016,Dehydrated,39.859513557644526
63.400000000000006,37.88,1.6663816085541951,Slightly Dehydrated,34.31546053618473
64.0,36.67999999999999,2.1076097809669503,Slightly Dehydrated,34.262536593655646
64.0,36.67999999999999,1.286207815118802,Dehydrated,33.98873593837293
91.0,36.92,2.194775861142748,Dehydrated,43.37159195371425
64.0,36.67999999999999,1.6315631096819927,Dehydrated,34.103854369893995
76.0,37.64,2.2413769109148785,Slightly Dehydrated,38.62712563697163
55.10058490882102,37.19500281335552,2.067476502150473,Hydrated,31.45435474144234
61.0,36.92,0.5634875307459772,Slightly Dehydrated,32.82782917691532
